"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US170310619011","Block Group 1, Census Tract 619.01, Cook County, Illinois","541","197","163","90","378","202",
"1500000US170310619012","Block Group 2, Census Tract 619.01, Cook County, Illinois","563","158","235","119","328","129",
"1500000US170310619013","Block Group 3, Census Tract 619.01, Cook County, Illinois","509","136","108","61","401","127",
"1500000US170310619014","Block Group 4, Census Tract 619.01, Cook County, Illinois","709","240","67","49","642","247",
"1500000US170310619021","Block Group 1, Census Tract 619.02, Cook County, Illinois","597","111","294","98","303","89",
"1500000US170310619022","Block Group 2, Census Tract 619.02, Cook County, Illinois","1146","291","378","217","768","221",
"1500000US170310619023","Block Group 3, Census Tract 619.02, Cook County, Illinois","1011","187","215","78","796","187",
"1500000US170310619024","Block Group 4, Census Tract 619.02, Cook County, Illinois","0","12","0","12","0","12",
"1500000US170310620001","Block Group 1, Census Tract 620, Cook County, Illinois","1105","151","378","82","727","153",
"1500000US170310620002","Block Group 2, Census Tract 620, Cook County, Illinois","472","104","66","24","406","103",
"1500000US170310621001","Block Group 1, Census Tract 621, Cook County, Illinois","407","85","182","57","225","87",
"1500000US170310621002","Block Group 2, Census Tract 621, Cook County, Illinois","468","115","103","73","365","81",
"1500000US170310621003","Block Group 3, Census Tract 621, Cook County, Illinois","990","167","327","95","663","183",
"1500000US170310622001","Block Group 1, Census Tract 622, Cook County, Illinois","587","103","255","81","332","101",
"1500000US170310622002","Block Group 2, Census Tract 622, Cook County, Illinois","684","153","368","137","316","79",
"1500000US170310623001","Block Group 1, Census Tract 623, Cook County, Illinois","649","62","381","62","268","50",
"1500000US170310624001","Block Group 1, Census Tract 624, Cook County, Illinois","700","73","429","75","271","59",
"1500000US170310625001","Block Group 1, Census Tract 625, Cook County, Illinois","699","88","404","91","295","65",
"1500000US170310626001","Block Group 1, Census Tract 626, Cook County, Illinois","911","105","616","100","295","67",
"1500000US170310627001","Block Group 1, Census Tract 627, Cook County, Illinois","277","76","162","67","115","45",
"1500000US170310627002","Block Group 2, Census Tract 627, Cook County, Illinois","419","145","254","94","165","131",
"1500000US170310627003","Block Group 3, Census Tract 627, Cook County, Illinois","520","101","247","81","273","73",
"1500000US170310628001","Block Group 1, Census Tract 628, Cook County, Illinois","379","85","181","61","198","69",
