"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)",
"1500000US170310404014","Block Group 4, Census Tract 404.01, Cook County, Illinois","108214","42148",
"1500000US170310404021","Block Group 1, Census Tract 404.02, Cook County, Illinois","90804","71620",
"1500000US170310404022","Block Group 2, Census Tract 404.02, Cook County, Illinois","88906","18377",
"1500000US170310404023","Block Group 3, Census Tract 404.02, Cook County, Illinois","107125","31719",
"1500000US170310404024","Block Group 4, Census Tract 404.02, Cook County, Illinois","-","**",
"1500000US170310404025","Block Group 5, Census Tract 404.02, Cook County, Illinois","75776","26443",
"1500000US170310406001","Block Group 1, Census Tract 406, Cook County, Illinois","80556","17262",
"1500000US170310406002","Block Group 2, Census Tract 406, Cook County, Illinois","77000","26239",
"1500000US170310406003","Block Group 3, Census Tract 406, Cook County, Illinois","94811","15108",
"1500000US170310407001","Block Group 1, Census Tract 407, Cook County, Illinois","85263","32704",
"1500000US170310407002","Block Group 2, Census Tract 407, Cook County, Illinois","83056","53612",
"1500000US170310407003","Block Group 3, Census Tract 407, Cook County, Illinois","132102","55167",
"1500000US170310407004","Block Group 4, Census Tract 407, Cook County, Illinois","78125","46819",
"1500000US170310408001","Block Group 1, Census Tract 408, Cook County, Illinois","99861","16666",
"1500000US170310408002","Block Group 2, Census Tract 408, Cook County, Illinois","69044","11260",
"1500000US170310409001","Block Group 1, Census Tract 409, Cook County, Illinois","60517","22236",
"1500000US170310409002","Block Group 2, Census Tract 409, Cook County, Illinois","90469","17008",
"1500000US170310501001","Block Group 1, Census Tract 501, Cook County, Illinois","88523","17893",
"1500000US170310501002","Block Group 2, Census Tract 501, Cook County, Illinois","157000","47865",
"1500000US170310502001","Block Group 1, Census Tract 502, Cook County, Illinois","121250","110125",
"1500000US170310502002","Block Group 2, Census Tract 502, Cook County, Illinois","145068","35851",
"1500000US170310502003","Block Group 3, Census Tract 502, Cook County, Illinois","82813","31097",
"1500000US170310503001","Block Group 1, Census Tract 503, Cook County, Illinois","89306","46323",
"1500000US170310503002","Block Group 2, Census Tract 503, Cook County, Illinois","212538","99157",
"1500000US170310503003","Block Group 3, Census Tract 503, Cook County, Illinois","127375","91624",
"1500000US170310505001","Block Group 1, Census Tract 505, Cook County, Illinois","176458","140633",
"1500000US170310505002","Block Group 2, Census Tract 505, Cook County, Illinois","126023","47299",
"1500000US170310505003","Block Group 3, Census Tract 505, Cook County, Illinois","185469","94636",
"1500000US170310505004","Block Group 4, Census Tract 505, Cook County, Illinois","154844","74744",
"1500000US170310505005","Block Group 5, Census Tract 505, Cook County, Illinois","170257","42128",
"1500000US170310506001","Block Group 1, Census Tract 506, Cook County, Illinois","90667","17139",
"1500000US170310506002","Block Group 2, Census Tract 506, Cook County, Illinois","117891","39660",
"1500000US170310507001","Block Group 1, Census Tract 507, Cook County, Illinois","120278","25339",
"1500000US170310508001","Block Group 1, Census Tract 508, Cook County, Illinois","146750","39869",
"1500000US170310509001","Block Group 1, Census Tract 509, Cook County, Illinois","116399","9651",
"1500000US170310510001","Block Group 1, Census Tract 510, Cook County, Illinois","118523","26157",
"1500000US170310511001","Block Group 1, Census Tract 511, Cook County, Illinois","142708","41952",
"1500000US170310512001","Block Group 1, Census Tract 512, Cook County, Illinois","133750","29354",
"1500000US170310512002","Block Group 2, Census Tract 512, Cook County, Illinois","167083","39843",
"1500000US170310513001","Block Group 1, Census Tract 513, Cook County, Illinois","215833","56133",
"1500000US170310513002","Block Group 2, Census Tract 513, Cook County, Illinois","190417","24505",
"1500000US170310514001","Block Group 1, Census Tract 514, Cook County, Illinois","131417","36776",
"1500000US170310514002","Block Group 2, Census Tract 514, Cook County, Illinois","123500","26626",
"1500000US170310601001","Block Group 1, Census Tract 601, Cook County, Illinois","100406","26418",
"1500000US170310601002","Block Group 2, Census Tract 601, Cook County, Illinois","96204","34422",
"1500000US170310601003","Block Group 3, Census Tract 601, Cook County, Illinois","112786","21826",
"1500000US170310602001","Block Group 1, Census Tract 602, Cook County, Illinois","85714","31732",
"1500000US170310602002","Block Group 2, Census Tract 602, Cook County, Illinois","81016","27120",
"1500000US170310603001","Block Group 1, Census Tract 603, Cook County, Illinois","138438","69880",
"1500000US170310603002","Block Group 2, Census Tract 603, Cook County, Illinois","105905","32315",
"1500000US170310604001","Block Group 1, Census Tract 604, Cook County, Illinois","121625","50663",
"1500000US170310604002","Block Group 2, Census Tract 604, Cook County, Illinois","129167","56521",
"1500000US170310604003","Block Group 3, Census Tract 604, Cook County, Illinois","162656","31493",
"1500000US170310605001","Block Group 1, Census Tract 605, Cook County, Illinois","48393","12905",
"1500000US170310608001","Block Group 1, Census Tract 608, Cook County, Illinois","85500","22948",
"1500000US170310608002","Block Group 2, Census Tract 608, Cook County, Illinois","-","**",
"1500000US170310608003","Block Group 3, Census Tract 608, Cook County, Illinois","67216","13154",
"1500000US170310608004","Block Group 4, Census Tract 608, Cook County, Illinois","71910","27842",
"1500000US170310609001","Block Group 1, Census Tract 609, Cook County, Illinois","85554","36153",
"1500000US170310609002","Block Group 2, Census Tract 609, Cook County, Illinois","-","**",
"1500000US170310609003","Block Group 3, Census Tract 609, Cook County, Illinois","62243","36497",
"1500000US170310609004","Block Group 4, Census Tract 609, Cook County, Illinois","40125","8078",
"1500000US170310609005","Block Group 5, Census Tract 609, Cook County, Illinois","65288","23737",
"1500000US170310609006","Block Group 6, Census Tract 609, Cook County, Illinois","96196","36674",
"1500000US170310610001","Block Group 1, Census Tract 610, Cook County, Illinois","109973","11777",
"1500000US170310611001","Block Group 1, Census Tract 611, Cook County, Illinois","103889","23529",
"1500000US170310612001","Block Group 1, Census Tract 612, Cook County, Illinois","101683","25679",
"1500000US170310615001","Block Group 1, Census Tract 615, Cook County, Illinois","124231","10028",
"1500000US170310618001","Block Group 1, Census Tract 618, Cook County, Illinois","64423","9976",
"1500000US170310619011","Block Group 1, Census Tract 619.01, Cook County, Illinois","55225","30588",
"1500000US170310619012","Block Group 2, Census Tract 619.01, Cook County, Illinois","65625","7218",
"1500000US170310619013","Block Group 3, Census Tract 619.01, Cook County, Illinois","51719","33516",
