"GEO_ID","NAME","B17021_001E","B17021_001M","B17021_002E","B17021_002M","B17021_003E","B17021_003M","B17021_004E","B17021_004M","B17021_005E","B17021_005M","B17021_006E","B17021_006M","B17021_007E","B17021_007M","B17021_008E","B17021_008M","B17021_009E","B17021_009M","B17021_010E","B17021_010M","B17021_011E","B17021_011M","B17021_012E","B17021_012M","B17021_013E","B17021_013M","B17021_014E","B17021_014M","B17021_015E","B17021_015M","B17021_016E","B17021_016M","B17021_017E","B17021_017M","B17021_018E","B17021_018M","B17021_019E","B17021_019M","B17021_020E","B17021_020M","B17021_021E","B17021_021M","B17021_022E","B17021_022M","B17021_023E","B17021_023M","B17021_024E","B17021_024M","B17021_025E","B17021_025M","B17021_026E","B17021_026M","B17021_027E","B17021_027M","B17021_028E","B17021_028M","B17021_029E","B17021_029M","B17021_030E","B17021_030M","B17021_031E","B17021_031M","B17021_032E","B17021_032M","B17021_033E","B17021_033M","B17021_034E","B17021_034M","B17021_035E","B17021_035M",
"1500000US170318209023","Block Group 3, Census Tract 8209.02, Cook County, Illinois","1341","669","414","490","376","490","36","64","36","64","0","12","340","481","6","22","4","16","2","7","334","486","334","486","0","12","38","58","0","12","0","12","0","12","38","58","927","365","794","362","593","312","593","312","0","12","201","197","34","44","32","42","2","7","167","191","109","175","58","93","133","172","48","51","18","29","30","45","85","127",
"1500000US170318209024","Block Group 4, Census Tract 8209.02, Cook County, Illinois","1924","694","153","155","153","155","76","99","56","94","20","30","77","119","0","12","0","12","0","12","77","119","77","119","0","12","0","12","0","12","0","12","0","12","0","12","1771","662","1728","669","1599","674","1584","671","15","24","129","114","42","66","32","51","10","15","87","89","53","65","34","55","43","35","38","31","34","29","4","7","5","9",
"1500000US170318210011","Block Group 1, Census Tract 8210.01, Cook County, Illinois","1028","346","83","59","52","54","0","12","0","12","0","12","52","54","0","12","0","12","0","12","52","54","33","50","19","29","31","23","31","23","31","23","0","12","0","12","945","332","866","329","621","309","621","309","0","12","245","146","92","94","81","79","11","19","153","118","153","118","0","12","79","37","79","37","79","37","0","12","0","12",
"1500000US170318210012","Block Group 2, Census Tract 8210.01, Cook County, Illinois","850","328","97","125","97","125","97","125","97","125","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","753","307","693","313","637","299","637","299","0","12","56","49","15","23","15","23","0","12","41","45","41","45","0","12","60","50","60","50","60","50","0","12","0","12",
"1500000US170318210013","Block Group 3, Census Tract 8210.01, Cook County, Illinois","1345","348","121","174","121","174","16","25","0","12","16","25","105","172","105","172","105","172","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1224","326","1105","342","906","334","906","334","0","12","199","131","45","50","23","35","22","36","154","126","154","126","0","12","119","70","119","70","119","70","0","12","0","12",
"1500000US170318210014","Block Group 4, Census Tract 8210.01, Cook County, Illinois","1452","553","84","71","39","50","0","12","0","12","0","12","39","50","0","12","0","12","0","12","39","50","39","50","0","12","45","52","45","52","45","52","0","12","0","12","1368","544","1292","548","768","320","768","320","0","12","524","469","0","12","0","12","0","12","524","469","524","469","0","12","76","45","76","45","76","45","0","12","0","12",
"1500000US170318210021","Block Group 1, Census Tract 8210.02, Cook County, Illinois","1113","654","145","167","137","167","0","12","0","12","0","12","137","167","104","160","0","12","104","160","33","53","33","53","0","12","8","13","8","13","8","13","0","12","0","12","968","506","855","508","480","210","480","210","0","12","375","483","334","481","334","481","0","12","41","48","41","48","0","12","113","56","113","56","113","56","0","12","0","12",
"1500000US170318210022","Block Group 2, Census Tract 8210.02, Cook County, Illinois","1023","373","173","222","164","222","164","222","144","220","20","30","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","14","9","14","9","14","0","12","0","12","850","284","763","288","613","270","613","270","0","12","150","121","98","91","89","84","9","13","52","78","52","78","0","12","87","56","87","56","87","56","0","12","0","12",
"1500000US170318210023","Block Group 3, Census Tract 8210.02, Cook County, Illinois","902","313","51","82","51","82","51","82","51","82","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","851","314","747","317","571","273","559","267","12","20","176","166","157","162","118","117","39","50","19","31","19","31","0","12","104","52","104","52","104","52","0","12","0","12",
"1500000US170318210024","Block Group 4, Census Tract 8210.02, Cook County, Illinois","1130","362","169","126","49","79","49","79","49","79","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","120","103","64","101","64","101","0","12","56","24","961","361","869","364","616","330","616","330","0","12","253","285","29","48","29","48","0","12","224","283","224","283","0","12","92","60","73","50","56","48","17","18","19","21",
