GEOID,neighbors
237,"170316811005,170316811003,170316718001,170316814004,170316814003,170317102004,170317102005,170317102003,170318349001"
238,"170316809003,170316809002,170316903001,170314206002,170316904004,170314207005,170316905001,170318345001,170316904001,170314212001,170314008002,170314008001,170318346001"
239,"170316904004,170316903002,170316812001,170316809003,170318425001"
240,"170317401001,170317503003,170318219003,170317401003,170317204001,170317204002,170317205002,170318233041"
241,"170317206002,170317204001,170317207001,170317203003,170317205002"
242,"170317503001,170317206001,170317207001,170317502003,170317205002"
243,"170317207002,170317207001,170317202002,170317202003"
244,"170317203003,170317206001,170317206002,170317207003,170317207002,170317202003,170317502001,170317502002,170317502003"
245,"170317115001,170318340001,170317301002,170314906001,170317305004,170317301003,170317305001"
246,"170317302021,170317302023,170317301001,170317305004,170317301003,170317304001,170317305001"
247,"170317302021,170317115001,170317115002,170317301001,170317301002,170317114002"
248,"170318002002,170318018001,170318002003,170318002004,170318002005,170318003003"
249,"170318001002,170318002004,170318003002,170318003003,170318004001"
250,"170318005005,170318004002,170318003001,170318005001,170318003003,170318004001"
251,"170318005004,170318018001,170318005005,170318008001,170318002004,170318002006,170318003001,170318003002"
252,"170318004003,170318005001,170318001002,170319900000,170318012003,170318006001,170318002004,170318004002,170318003001,170318003002"
253,"170310304002,170310305001,170310305004,170310305003,170310302002,170310302003,170310304001,170310303002"
254,"170310307011,170310309002,170310307033,170310308003,170310307031,170310308001,170310309001,170310309003"
255,"170310308003,170310401001,170310308004,170310309004,170310309002,170310308002"
256,"170310310002,170310401001,170310404021,170310308004,170310309004,170310311003"
257,"170310310001,170310318001,170310317001,170310311002,170310310003,170310311003,170310404021,170310404025"
258,"170310318001,170310310002,170318308001,170310404021,170310404025"
259,"170310318001,170310310002,170310317001,170310312002,170310311001,170310311003,170318307002"
260,"170310312003,170310317001,170310312001,170310311002,170310312004,170310311001,170318307002"
261,"170316504001,170316505001,170316504004,170316504002,170316503014,170316503022"
262,"170316504005,170316505002,170316505003,170316504004,170316503014,170316503022"
263,"170316505003,170316503014,170316503012,170316505001"
264,"170318209021,170316503012,170316505001,170316505002,170316504003,170316504004,170318209011,170317002001,170316408002,170317002004,170317002002"
265,"170316607001,170318350001,170318350004,170318350005,170316606001,170316606002"
266,"170318350001,170316606001,170318350002,170318350005,170318350003,170316606002,170316606003"
267,"170318350001,170318350002,170318350004,170318350003,170318351003"
268,"170316308004,170316603024,170318350004,170318350005,170316606002,170316606003,170318351003,170316603021,170318351004,170316603011"
269,"170316308004,170316603023,170316603024,170318350003,170318351004"
270,"170316904004,170316910004,170316905001,170316909005,170316910001,170316904001,170316904003"
271,"170316904004,170316910004,170316903002,170316904001,170316910001,170316911001,170316904002"
272,"170316903002,170316903001,170318425001,170316904001,170316904002,170316904003"
273,"170317302023,170317115002,170317301002,170317301003,170317114002,170317302022"
274,"170317304004,170317302021,170317305004,170317301002,170317304001,170317302022"
275,"170317114001,170317302011,170317302014,170317302012,170317302015,170317114003"
276,"170317304004,170317302013,170317302015,170317302022,170317304002,170317114003"
277,"170317113002,170317114001,170317302013,170317303001,170317302012,170317302015"
278,"170317202001,170317201002,170317113002,170317114001,170317302014,170317201003,170317302012,170317304002"
279,"170317304004,170317302023,170317304003,170317305004,170317301002"
280,"170318004003,170318003002,170318005001,170318004001"
281,"170318012003,170318006001,170318004002,170318005001,170318004001"
282,"170318005004,170318005005,170318006001,170318006002,170318007001,170318004002,170318004003,170318003002,170318005002,170318004001"
283,"170318005001,170318005004,170318005003,170318007001"
284,"170318005002,170318005004,170318008001,170318007001"
285,"170318012003,170318013002,170318013004,170318088001"
286,"170318012003,170318011001,170318012002,170318011002,170318088001,170318013003"
287,"170318307004,170310317001,170310317002,170310315011,170310315023,170310315012,170318307002,170310317003"
288,"170310317002,170318307003,170318307001,170310315022,170310321001,170310315021,170310315011,170310315023,170310317004,170310321002,170310317003"
289,"170310318001,170310310002,170310317002,170310311002,170310312002,170318307002,170318307003"
290,"170318307004,170310317001,170310318001,170310319001,170310317003,170318307002,170318307003"
291,"170310318001,170310317002,170310319002,170318308001,170318308002,170318308003,170310317004,170310317003"
292,"170310601001,170310601003,170310319001,170318307001,170318308002,170318308003,170310317004,170310501001,170310602001,170310317003"
293,"170318307004,170310601001,170310319002,170310321003,170310601002,170310317004,170310321002,170310605001,170318321002"
294,"170318307004,170310314005,170310321003,170310315021,170310314003,170310321002,170310321004,170310314001"
295,"170316308004,170316604003,170316309001,170316604002,170316309002,170316604004,170316603022"
296,"170316604003,170316604002,170316309002,170316501002,170316604001,170316501001"
297,"170316606005,170316608005,170316605001,170316605003,170316605004,170316609003"
298,"170316504001,170316605001,170316605002,170316605004,170316503021,170316503022,170316609003"
299,"170316605002,170316605003,170316604003,170316605001,170316604002,170316501002,170316503021,170316503022"
300,"170316607001,170318350001,170316608001,170316608002,170318350002,170318350004,170316606002"
301,"170318350002,170318350004,170318350003,170316606001,170316606003,170316608003,170316608001,170316608002"
302,"170318350004,170318350003,170316606002,170316606004,170316608003,170316608002,170316603011,170316608004"
303,"170316608003,170316606005,170316608005,170316608004,170316603011,170316606003"
304,"170316608005,170316605001,170316603011,170316604002,170316605002,170316608004,170316606004"
305,"170318350002,170316606001,170316607002,170318350001,170316714001,170316608001,170316714002,170316705001"
306,"170316715002,170316609001,170316607001,170316609002,170316610001,170316714001,170316714002,170316608001"
307,"170316607001,170316607002,170316608002,170316609001,170316606001,170316606002"
308,"170316608003,170316608001,170316609001,170316606001,170316606002,170316606003,170316609003"
309,"170316905001,170316909005,170316909003,170316909002,170316909001"
310,"170316913001,170316904002,170316909004,170316905001,170316910001,170316910002,170316909003,170316914004,170316914005"
311,"170316910004,170316905001,170316909005,170316910003,170316910002,170316904002,170316904003"
312,"170316910004,170316913001,170316912002,170316910001,170316911001,170316910002"
313,"170316913001,170316904003,170316903002,170316910004,170316912002,170316910003,170316911004,170316911002"
314,"170316911003,170316912002,170316911001,170316911004,170316912001"
315,"170316813002,170316813001,170316911004,170316911002,170316912001"
316,"170317304004,170317306001,170317202001,170317202002,170317302011,170317201003,170317303001,170317302012,170317302015,170317302022"
317,"170317301001,170318340001,170314906001,170317301002,170317305004,170317305002"
318,"170317305004,170314906001,170314907003,170314911001,170317305001,170317305003"
319,"170317307001,170317305004,170314911005,170314911001,170317305002,170317306003"
320,"170317304004,170317307002,170317207002,170317306002,170317202001,170317202002,170317304002"
321,"170317307002,170317306003,170314911004,170314911005,170317501001,170317305003"
322,"170318007004,170318014002,170318009004,170318022001,170318019021"
323,"170318014001,170318069001,170318069003,170318086001,170318009004,170318022001"
324,"170318015002,170318017021,170318017022,170318015001,170318018004,170318016011"
325,"170318024022,170318016063,170318025061,170318016055,170318016053,170318016011"
326,"170318061042,170318016073,170318025056,170318016032,170318027022,170318026094,170318026101,170318016072,170318061041"
327,"170310401001,170310401003,170310404013,170310404021,170310404022"
328,"170310402024,170310401001,170310402022,170310401002,170310404013,170310402011,170310404011"
329,"170310402014,170310407002,170310407003,170310402011,170310403003,170310407004"
330,"170310404012,170310401003,170310402011,170310404014,170310404013,170310404024,170310404022"
331,"170310318001,170310406001,170310310003,170310319001,170310409001,170318308002,170310404025,170310404023"
332,"170310406001,170310406002,170310404012,170310402011,170310404014,170310407001,170310404024"
333,"170310406002,170310407002,170310408001,170310406003,170310404012,170310402011,170310409001"
334,"170311401001,170310407003,170310403003,170310402013,170311408002,170311408005,170310408002"
335,"170310407002,170310407003,170310408001,170311408002,170311408005,170310407004,170311606023,170310503003"
336,"170316608002,170316608004,170316609003,170316606002,170316606003,170316606004"
337,"170316606005,170316605001,170316608004,170316605002,170316609003,170316606004"
338,"170316607002,170316610001,170316610004,170316609001,170316609003"
339,"170316715002,170316609001,170316720004,170316607002,170316609002,170316610002,170316714002,170316610004,170316610003"
340,"170316720004,170316610001,170316610003,170316715002,170317001002,170316610004,170317104006"
341,"170316610001,170316610002,170316610004,170317001002,170316610005"
342,"170316609002,170316610001,170316610002,170316610003,170316610005,170316609003"
343,"170316610003,170317001002,170316610004,170316611001,170316611002,170316609003"
344,"170316611002,170316609003,170316611003,170316610005"
345,"170316611005,170317001002,170316504003,170316611003,170316611004,170316611001,170317001001,170317002001,170316610005,170316609003"
346,"170318424001,170317101001,170316912002,170318424002,170316912001,170317109001"
347,"170316813001,170317101001,170316912002,170316911002,170316911003,170316912003"
348,"170316915003,170316915001,170318418001,170316909002,170316909003,170316914003,170316914002,170316914004"
349,"170316915003,170316915001,170314402011,170314401014,170316914003,170314402012,170316914001,170316914004"
